INFO  [2016-01-24 19:26:55,979] org.eclipse.jetty.util.log: Logging initialized @1050ms
DEBUG [2016-01-24 19:26:56,076] org.hibernate.type.BasicTypeRegistry: Adding type registration boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:26:56,076] org.hibernate.type.BasicTypeRegistry: Adding type registration boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:26:56,076] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@37b70343
DEBUG [2016-01-24 19:26:56,077] org.hibernate.type.BasicTypeRegistry: Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@354fc8f0
DEBUG [2016-01-24 19:26:56,079] org.hibernate.type.BasicTypeRegistry: Adding type registration true_false -> org.hibernate.type.TrueFalseType@1fdfafd2
DEBUG [2016-01-24 19:26:56,080] org.hibernate.type.BasicTypeRegistry: Adding type registration yes_no -> org.hibernate.type.YesNoType@6d304f9d
DEBUG [2016-01-24 19:26:56,082] org.hibernate.type.BasicTypeRegistry: Adding type registration byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:26:56,082] org.hibernate.type.BasicTypeRegistry: Adding type registration byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:26:56,082] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4cc6fa2a
DEBUG [2016-01-24 19:26:56,083] org.hibernate.type.BasicTypeRegistry: Adding type registration character -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:26:56,083] org.hibernate.type.BasicTypeRegistry: Adding type registration char -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:26:56,083] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@590c73d3
DEBUG [2016-01-24 19:26:56,084] org.hibernate.type.BasicTypeRegistry: Adding type registration short -> org.hibernate.type.ShortType@79da1ec0
